Pokedex Number,Pokemon,Link,HP,Attack,Defense,Speed,Special Attack,Special Defense,Stat Total,Variation,Category,Type 1,Type 2,Height (m),Weight (kg),Generation
352,Kecleon,https://bulbapedia.bulbagarden.net/wiki/Kecleon_(Pok%C3%A9mon),60,90,70,40,60,120,440,,Color Swap Pokémon,Normal,,1.0,22.0,3.0
353,Shuppet,https://bulbapedia.bulbagarden.net/wiki/Shuppet_(Pok%C3%A9mon),44,75,35,45,63,33,295,,Puppet Pokémon,Ghost,,0.6,2.3,3.0
354,Banette,https://bulbapedia.bulbagarden.net/wiki/Banette_(Pok%C3%A9mon),64,115,65,65,83,63,455,,Marionette Pokémon,Ghost,,1.1,12.5,3.0
354,Banette,https://bulbapedia.bulbagarden.net/wiki/Banette_(Pok%C3%A9mon),64,165,75,75,93,83,555,Mega Banette,Marionette Pokémon,Ghost,,1.1,12.5,3.0
355,Duskull,https://bulbapedia.bulbagarden.net/wiki/Duskull_(Pok%C3%A9mon),20,40,90,25,30,90,295,,Requiem Pokémon,Ghost,,0.8,15.0,3.0
356,Dusclops,https://bulbapedia.bulbagarden.net/wiki/Dusclops_(Pok%C3%A9mon),40,70,130,25,60,130,455,,Beckon Pokémon,Ghost,,1.6,30.6,3.0
357,Tropius,https://bulbapedia.bulbagarden.net/wiki/Tropius_(Pok%C3%A9mon),99,68,83,51,72,87,460,,Fruit Pokémon,Grass,Flying,2.0,100.0,3.0
358,Chimecho,https://bulbapedia.bulbagarden.net/wiki/Chimecho_(Pok%C3%A9mon),75,50,80,65,95,90,455,,Wind Chime Pokémon,Psychic,,0.6,1.0,3.0
359,Absol,https://bulbapedia.bulbagarden.net/wiki/Absol_(Pok%C3%A9mon),65,130,60,75,75,60,465,,Disaster Pokémon,Dark,,1.2,47.0,3.0
359,Absol,https://bulbapedia.bulbagarden.net/wiki/Absol_(Pok%C3%A9mon),65,150,60,115,115,60,565,Mega Absol,Disaster Pokémon,Dark,,1.2,47.0,3.0
360,Wynaut,https://bulbapedia.bulbagarden.net/wiki/Wynaut_(Pok%C3%A9mon),95,23,48,23,23,48,260,,Bright Pokémon,Psychic,,0.6,14.0,3.0
361,Snorunt,https://bulbapedia.bulbagarden.net/wiki/Snorunt_(Pok%C3%A9mon),50,50,50,50,50,50,300,,Snow Hat Pokémon,Ice,,0.7,16.8,3.0
362,Glalie,https://bulbapedia.bulbagarden.net/wiki/Glalie_(Pok%C3%A9mon),80,80,80,80,80,80,480,,Face Pokémon,Ice,,1.5,256.5,3.0
362,Glalie,https://bulbapedia.bulbagarden.net/wiki/Glalie_(Pok%C3%A9mon),80,120,80,100,120,80,580,Mega Glalie,Face Pokémon,Ice,,1.5,256.5,3.0
363,Spheal,https://bulbapedia.bulbagarden.net/wiki/Spheal_(Pok%C3%A9mon),70,40,50,25,55,50,290,,Clap Pokémon,Ice,Water,0.8,39.5,3.0
364,Sealeo,https://bulbapedia.bulbagarden.net/wiki/Sealeo_(Pok%C3%A9mon),90,60,70,45,75,70,410,,Ball Roll Pokémon,Ice,Water,1.1,87.6,3.0
365,Walrein,https://bulbapedia.bulbagarden.net/wiki/Walrein_(Pok%C3%A9mon),110,80,90,65,95,90,530,,Ice Break Pokémon,Ice,Water,1.4,150.6,3.0
366,Clamperl,https://bulbapedia.bulbagarden.net/wiki/Clamperl_(Pok%C3%A9mon),35,64,85,32,74,55,345,,Bivalve Pokémon,Water,,0.4,52.5,3.0
367,Huntail,https://bulbapedia.bulbagarden.net/wiki/Huntail_(Pok%C3%A9mon),55,104,105,52,94,75,485,,Deep Sea Pokémon,Water,,1.7,27.0,3.0
368,Gorebyss,https://bulbapedia.bulbagarden.net/wiki/Gorebyss_(Pok%C3%A9mon),55,84,105,52,114,75,485,,South Sea Pokémon,Water,,1.8,22.6,3.0
369,Relicanth,https://bulbapedia.bulbagarden.net/wiki/Relicanth_(Pok%C3%A9mon),100,90,130,55,45,65,485,,Longevity Pokémon,Water,Rock,1.0,23.4,3.0
370,Luvdisc,https://bulbapedia.bulbagarden.net/wiki/Luvdisc_(Pok%C3%A9mon),43,30,55,97,40,65,330,,Rendezvous Pokémon,Water,,0.6,8.7,3.0
371,Bagon,https://bulbapedia.bulbagarden.net/wiki/Bagon_(Pok%C3%A9mon),45,75,60,50,40,30,300,,Rock Head Pokémon,Dragon,,0.6,42.1,3.0
372,Shelgon,https://bulbapedia.bulbagarden.net/wiki/Shelgon_(Pok%C3%A9mon),65,95,100,50,60,50,420,,Endurance Pokémon,Dragon,,1.1,110.5,3.0
373,Salamence,https://bulbapedia.bulbagarden.net/wiki/Salamence_(Pok%C3%A9mon),95,135,80,100,110,80,600,,Dragon Pokémon,Dragon,Flying,1.5,102.6,3.0
373,Salamence,https://bulbapedia.bulbagarden.net/wiki/Salamence_(Pok%C3%A9mon),95,145,130,120,120,90,700,Mega Salamence,Dragon Pokémon,Dragon,Flying,1.5,102.6,3.0
374,Beldum,https://bulbapedia.bulbagarden.net/wiki/Beldum_(Pok%C3%A9mon),40,55,80,30,35,60,300,,Iron Ball Pokémon,Steel,Psychic,0.6,95.2,3.0
375,Metang,https://bulbapedia.bulbagarden.net/wiki/Metang_(Pok%C3%A9mon),60,75,100,50,55,80,420,,Iron Claw Pokémon,Steel,Psychic,1.2,202.5,3.0
376,Metagross,https://bulbapedia.bulbagarden.net/wiki/Metagross_(Pok%C3%A9mon),80,135,130,70,95,90,600,,Iron Leg Pokémon,Steel,Psychic,1.6,550.0,3.0
376,Metagross,https://bulbapedia.bulbagarden.net/wiki/Metagross_(Pok%C3%A9mon),80,145,150,110,105,110,700,Mega Metagross,Iron Leg Pokémon,Steel,Psychic,1.6,550.0,3.0
377,Regirock,https://bulbapedia.bulbagarden.net/wiki/Regirock_(Pok%C3%A9mon),80,100,200,50,50,100,580,,Rock Peak Pokémon,Rock,,1.7,230.0,3.0
378,Regice,https://bulbapedia.bulbagarden.net/wiki/Regice_(Pok%C3%A9mon),80,50,100,50,100,200,580,,Iceberg Pokémon,Ice,,1.8,175.0,3.0
379,Registeel,https://bulbapedia.bulbagarden.net/wiki/Registeel_(Pok%C3%A9mon),80,75,150,50,75,150,580,,Iron Pokémon,Steel,,1.9,205.0,3.0
380,Latias,https://bulbapedia.bulbagarden.net/wiki/Latias_(Pok%C3%A9mon),80,80,90,110,110,130,600,,Eon Pokémon,Dragon,Psychic,1.4,40.0,3.0
380,Latias,https://bulbapedia.bulbagarden.net/wiki/Latias_(Pok%C3%A9mon),80,100,120,110,140,150,700,Mega Latias,Eon Pokémon,Dragon,Psychic,1.4,40.0,3.0
381,Latios,https://bulbapedia.bulbagarden.net/wiki/Latios_(Pok%C3%A9mon),80,90,80,110,130,110,600,,Eon Pokémon,Dragon,Psychic,2.0,60.0,3.0
381,Latios,https://bulbapedia.bulbagarden.net/wiki/Latios_(Pok%C3%A9mon),80,130,100,110,160,120,700,Mega Latios,Eon Pokémon,Dragon,Psychic,2.0,60.0,3.0
382,Kyogre,https://bulbapedia.bulbagarden.net/wiki/Kyogre_(Pok%C3%A9mon),100,100,90,90,150,140,670,,Sea Basin Pokémon,Water,,4.5,352.0,3.0
382,Kyogre,https://bulbapedia.bulbagarden.net/wiki/Kyogre_(Pok%C3%A9mon),100,150,90,90,180,160,770,Primal Kyogre,Sea Basin Pokémon,Water,,4.5,352.0,3.0
383,Groudon,https://bulbapedia.bulbagarden.net/wiki/Groudon_(Pok%C3%A9mon),100,150,140,90,100,90,670,,Continent Pokémon,Ground,,3.5,950.0,3.0
383,Groudon,https://bulbapedia.bulbagarden.net/wiki/Groudon_(Pok%C3%A9mon),100,180,160,90,150,90,770,Primal Groudon,Continent Pokémon,Ground,,3.5,950.0,3.0
384,Rayquaza,https://bulbapedia.bulbagarden.net/wiki/Rayquaza_(Pok%C3%A9mon),105,150,90,95,150,90,680,,Sky High Pokémon,Dragon,Flying,7.0,206.5,3.0
384,Rayquaza,https://bulbapedia.bulbagarden.net/wiki/Rayquaza_(Pok%C3%A9mon),105,180,100,115,180,100,780,Mega Rayquaza,Sky High Pokémon,Dragon,Flying,7.0,206.5,3.0
385,Jirachi,https://bulbapedia.bulbagarden.net/wiki/Jirachi_(Pok%C3%A9mon),100,100,100,100,100,100,600,,Wish Pokémon,Steel,Psychic,0.3,1.1,3.0
386,Deoxys,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon),50,150,50,150,150,50,600,Normal Forme,DNA Pokémon,Psychic,,1.7,60.8,3.0
386,Deoxys,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon),50,180,20,150,180,20,600,Attack Forme,DNA Pokémon,Psychic,,1.7,60.8,3.0
386,Deoxys,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon),50,70,160,90,70,160,600,Defense Forme,DNA Pokémon,Psychic,,1.7,60.8,3.0
386,Deoxys,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon),50,95,90,180,95,90,600,Speed Forme,DNA Pokémon,Psychic,,1.7,60.8,3.0
387,Turtwig,https://bulbapedia.bulbagarden.net/wiki/Turtwig_(Pok%C3%A9mon),55,68,64,31,45,55,318,,Tiny Leaf Pokémon,Grass,,0.4,10.2,4.0
388,Grotle,https://bulbapedia.bulbagarden.net/wiki/Grotle_(Pok%C3%A9mon),75,89,85,36,55,65,405,,Grove Pokémon,Grass,,1.1,97.0,4.0
389,Torterra,https://bulbapedia.bulbagarden.net/wiki/Torterra_(Pok%C3%A9mon),95,109,105,56,75,85,525,,Continent Pokémon,Grass,Ground,2.2,310.0,4.0
390,Chimchar,https://bulbapedia.bulbagarden.net/wiki/Chimchar_(Pok%C3%A9mon),44,58,44,61,58,44,309,,Chimp Pokémon,Fire,,0.5,6.2,4.0
391,Monferno,https://bulbapedia.bulbagarden.net/wiki/Monferno_(Pok%C3%A9mon),64,78,52,81,78,52,405,,Playful Pokémon,Fire,Fighting,0.9,22.0,4.0
392,Infernape,https://bulbapedia.bulbagarden.net/wiki/Infernape_(Pok%C3%A9mon),76,104,71,108,104,71,534,,Flame Pokémon,Fire,Fighting,1.2,55.0,4.0
393,Piplup,https://bulbapedia.bulbagarden.net/wiki/Piplup_(Pok%C3%A9mon),53,51,53,40,61,56,314,,Penguin Pokémon,Water,,0.4,5.2,4.0
394,Prinplup,https://bulbapedia.bulbagarden.net/wiki/Prinplup_(Pok%C3%A9mon),64,66,68,50,81,76,405,,Penguin Pokémon,Water,,0.8,23.0,4.0
395,Empoleon,https://bulbapedia.bulbagarden.net/wiki/Empoleon_(Pok%C3%A9mon),84,86,88,60,111,101,530,,Emperor Pokémon,Water,Steel,1.7,84.5,4.0
396,Starly,https://bulbapedia.bulbagarden.net/wiki/Starly_(Pok%C3%A9mon),40,55,30,60,30,30,245,,Starling Pokémon,Normal,Flying,0.3,2.0,4.0
397,Staravia,https://bulbapedia.bulbagarden.net/wiki/Staravia_(Pok%C3%A9mon),55,75,50,80,40,40,340,,Starling Pokémon,Normal,Flying,0.6,15.5,4.0
398,Staraptor,https://bulbapedia.bulbagarden.net/wiki/Staraptor_(Pok%C3%A9mon),85,120,70,100,50,60,485,,Predator Pokémon,Normal,Flying,1.2,24.9,4.0
399,Bidoof,https://bulbapedia.bulbagarden.net/wiki/Bidoof_(Pok%C3%A9mon),59,45,40,31,35,40,250,,Plump Mouse Pokémon,Normal,,0.5,20.0,4.0
400,Bibarel,https://bulbapedia.bulbagarden.net/wiki/Bibarel_(Pok%C3%A9mon),79,85,60,71,55,60,410,,Beaver Pokémon,Normal,Water,1.0,31.5,4.0
401,Kricketot,https://bulbapedia.bulbagarden.net/wiki/Kricketot_(Pok%C3%A9mon),37,25,41,25,25,41,194,,Cricket Pokémon,Bug,,0.3,2.2,4.0
402,Kricketune,https://bulbapedia.bulbagarden.net/wiki/Kricketune_(Pok%C3%A9mon),77,85,51,65,55,51,384,,Cricket Pokémon,Bug,,1.0,25.5,4.0
403,Shinx,https://bulbapedia.bulbagarden.net/wiki/Shinx_(Pok%C3%A9mon),45,65,34,45,40,34,263,,Flash Pokémon,Electric,,0.5,9.5,4.0
404,Luxio,https://bulbapedia.bulbagarden.net/wiki/Luxio_(Pok%C3%A9mon),60,85,49,60,60,49,363,,Spark Pokémon,Electric,,0.9,30.5,4.0
405,Luxray,https://bulbapedia.bulbagarden.net/wiki/Luxray_(Pok%C3%A9mon),80,120,79,70,95,79,523,,Gleam Eyes Pokémon,Electric,,1.4,42.0,4.0
406,Budew,https://bulbapedia.bulbagarden.net/wiki/Budew_(Pok%C3%A9mon),40,30,35,55,50,70,280,,Bud Pokémon,Grass,Poison,0.2,1.2,4.0
407,Roserade,https://bulbapedia.bulbagarden.net/wiki/Roserade_(Pok%C3%A9mon),60,70,65,90,125,105,515,,Bouquet Pokémon,Grass,Poison,0.9,14.5,4.0
408,Cranidos,https://bulbapedia.bulbagarden.net/wiki/Cranidos_(Pok%C3%A9mon),67,125,40,58,30,30,350,,Head Butt Pokémon,Rock,,0.9,31.5,4.0
409,Rampardos,https://bulbapedia.bulbagarden.net/wiki/Rampardos_(Pok%C3%A9mon),97,165,60,58,65,50,495,,Head Butt Pokémon,Rock,,1.6,102.5,4.0
410,Shieldon,https://bulbapedia.bulbagarden.net/wiki/Shieldon_(Pok%C3%A9mon),30,42,118,30,42,88,350,,Shield Pokémon,Rock,Steel,0.5,57.0,4.0
411,Bastiodon,https://bulbapedia.bulbagarden.net/wiki/Bastiodon_(Pok%C3%A9mon),60,52,168,30,47,138,495,,Shield Pokémon,Rock,Steel,1.3,149.5,4.0
412,Burmy,https://bulbapedia.bulbagarden.net/wiki/Burmy_(Pok%C3%A9mon),40,29,45,36,29,45,224,,Bagworm Pokémon,Bug,,0.2,3.4,4.0
413,Wormadam,https://bulbapedia.bulbagarden.net/wiki/Wormadam_(Pok%C3%A9mon),60,59,85,36,79,105,424,Plant Cloak,Bagworm Pokémon,Bug,Grass,0.5,6.5,4.0
413,Wormadam,https://bulbapedia.bulbagarden.net/wiki/Wormadam_(Pok%C3%A9mon),60,79,105,36,59,85,424,Sandy Cloak,Bagworm Pokémon,Bug,Grass,0.5,6.5,4.0
413,Wormadam,https://bulbapedia.bulbagarden.net/wiki/Wormadam_(Pok%C3%A9mon),60,69,95,36,69,95,424,Trash Cloak,Bagworm Pokémon,Bug,Grass,0.5,6.5,4.0
414,Mothim,https://bulbapedia.bulbagarden.net/wiki/Mothim_(Pok%C3%A9mon),70,94,50,66,94,50,424,,Moth Pokémon,Bug,Flying,0.9,23.3,4.0
415,Combee,https://bulbapedia.bulbagarden.net/wiki/Combee_(Pok%C3%A9mon),30,30,42,70,30,42,244,,Tiny Bee Pokémon,Bug,Flying,0.3,5.5,4.0
416,Vespiquen,https://bulbapedia.bulbagarden.net/wiki/Vespiquen_(Pok%C3%A9mon),70,80,102,40,80,102,474,,Beehive Pokémon,Bug,Flying,1.2,38.5,4.0
417,Pachirisu,https://bulbapedia.bulbagarden.net/wiki/Pachirisu_(Pok%C3%A9mon),60,45,70,95,45,90,405,,EleSquirrel Pokémon,Electric,,0.4,3.9,4.0
418,Buizel,https://bulbapedia.bulbagarden.net/wiki/Buizel_(Pok%C3%A9mon),55,65,35,85,60,30,330,,Sea Weasel Pokémon,Water,,0.7,29.5,4.0
419,Floatzel,https://bulbapedia.bulbagarden.net/wiki/Floatzel_(Pok%C3%A9mon),85,105,55,115,85,50,495,,Sea Weasel Pokémon,Water,,1.1,33.5,4.0
420,Cherubi,https://bulbapedia.bulbagarden.net/wiki/Cherubi_(Pok%C3%A9mon),45,35,45,35,62,53,275,,Cherry Pokémon,Grass,,0.4,3.3,4.0
421,Cherrim,https://bulbapedia.bulbagarden.net/wiki/Cherrim_(Pok%C3%A9mon),70,60,70,85,87,78,450,,Blossom Pokémon,Grass,,0.5,9.3,4.0
422,Shellos,https://bulbapedia.bulbagarden.net/wiki/Shellos_(Pok%C3%A9mon),76,48,48,34,57,62,325,,Sea Slug Pokémon,Water,,0.3,6.3,4.0
423,Gastrodon,https://bulbapedia.bulbagarden.net/wiki/Gastrodon_(Pok%C3%A9mon),111,83,68,39,92,82,475,,Sea Slug Pokémon,Water,Ground,0.9,29.9,4.0
424,Ambipom,https://bulbapedia.bulbagarden.net/wiki/Ambipom_(Pok%C3%A9mon),75,100,66,115,60,66,482,,Long Tail Pokémon,Normal,,1.2,20.3,4.0
425,Drifloon,https://bulbapedia.bulbagarden.net/wiki/Drifloon_(Pok%C3%A9mon),90,50,34,70,60,44,348,,Balloon Pokémon,Ghost,Flying,0.4,1.2,4.0
426,Drifblim,https://bulbapedia.bulbagarden.net/wiki/Drifblim_(Pok%C3%A9mon),150,80,44,80,90,54,498,,Blimp Pokémon,Ghost,Flying,1.2,15.0,4.0
427,Buneary,https://bulbapedia.bulbagarden.net/wiki/Buneary_(Pok%C3%A9mon),55,66,44,85,44,56,350,,Rabbit Pokémon,Normal,,0.4,5.5,4.0
428,Lopunny,https://bulbapedia.bulbagarden.net/wiki/Lopunny_(Pok%C3%A9mon),65,76,84,105,54,96,480,,Rabbit Pokémon,Normal,,1.2,33.3,4.0
428,Lopunny,https://bulbapedia.bulbagarden.net/wiki/Lopunny_(Pok%C3%A9mon),65,136,94,135,54,96,580,Mega Lopunny,Rabbit Pokémon,Normal,,1.2,33.3,4.0
429,Mismagius,https://bulbapedia.bulbagarden.net/wiki/Mismagius_(Pok%C3%A9mon),60,60,60,105,105,105,495,,Magical Pokémon,Ghost,,0.9,4.4,4.0
430,Honchkrow,https://bulbapedia.bulbagarden.net/wiki/Honchkrow_(Pok%C3%A9mon),100,125,52,71,105,52,505,,,,,,,4.0
431,Glameow,https://bulbapedia.bulbagarden.net/wiki/Glameow_(Pok%C3%A9mon),49,55,42,85,42,37,310,,,,,,,4.0
432,Purugly,https://bulbapedia.bulbagarden.net/wiki/Purugly_(Pok%C3%A9mon),71,82,64,112,64,59,452,,Tiger Cat Pokémon,Normal,,1.0,43.8,4.0
433,Chingling,https://bulbapedia.bulbagarden.net/wiki/Chingling_(Pok%C3%A9mon),45,30,50,45,65,50,285,,Bell Pokémon,Psychic,,0.2,0.6,4.0
434,Stunky,https://bulbapedia.bulbagarden.net/wiki/Stunky_(Pok%C3%A9mon),63,63,47,74,41,41,329,,Skunk Pokémon,Poison,Dark,0.4,19.2,4.0
435,Skuntank,https://bulbapedia.bulbagarden.net/wiki/Skuntank_(Pok%C3%A9mon),103,93,67,84,71,61,479,,Skunk Pokémon,Poison,Dark,1.0,38.0,4.0
436,Bronzor,https://bulbapedia.bulbagarden.net/wiki/Bronzor_(Pok%C3%A9mon),57,24,86,23,24,86,300,,Bronze Pokémon,Steel,Psychic,0.5,60.5,4.0
437,Bronzong,https://bulbapedia.bulbagarden.net/wiki/Bronzong_(Pok%C3%A9mon),67,89,116,33,79,116,500,,Bronze Bell Pokémon,Steel,Psychic,1.3,187.0,4.0
438,Bonsly,https://bulbapedia.bulbagarden.net/wiki/Bonsly_(Pok%C3%A9mon),50,80,95,10,10,45,290,,Bonsai Pokémon,Rock,,0.5,15.0,4.0
439,Mime Jr.,https://bulbapedia.bulbagarden.net/wiki/Mime_Jr._(Pok%C3%A9mon),20,25,45,60,70,90,310,,Mime Pokémon,Psychic,Fairy,0.6,13.0,4.0
440,Happiny,https://bulbapedia.bulbagarden.net/wiki/Happiny_(Pok%C3%A9mon),100,5,5,30,15,65,220,,Playhouse Pokémon,Normal,,0.6,24.4,4.0
441,Chatot,https://bulbapedia.bulbagarden.net/wiki/Chatot_(Pok%C3%A9mon),76,65,45,91,92,42,411,,Music Note Pokémon,Normal,Flying,0.5,1.9,4.0
442,Spiritomb,https://bulbapedia.bulbagarden.net/wiki/Spiritomb_(Pok%C3%A9mon),50,92,108,35,92,108,485,,Forbidden Pokémon,Ghost,Dark,1.0,108.0,4.0
443,Gible,https://bulbapedia.bulbagarden.net/wiki/Gible_(Pok%C3%A9mon),58,70,45,42,40,45,300,,Land Shark Pokémon,Dragon,Ground,0.7,20.5,4.0
444,Gabite,https://bulbapedia.bulbagarden.net/wiki/Gabite_(Pok%C3%A9mon),68,90,65,82,50,55,410,,Cave Pokémon,Dragon,Ground,1.4,56.0,4.0
445,Garchomp,https://bulbapedia.bulbagarden.net/wiki/Garchomp_(Pok%C3%A9mon),108,130,95,102,80,85,600,,Mach Pokémon,Dragon,Ground,1.9,95.0,4.0
445,Garchomp,https://bulbapedia.bulbagarden.net/wiki/Garchomp_(Pok%C3%A9mon),108,170,115,92,120,95,700,Mega Garchomp,Mach Pokémon,Dragon,Ground,1.9,95.0,4.0
446,Munchlax,https://bulbapedia.bulbagarden.net/wiki/Munchlax_(Pok%C3%A9mon),135,85,40,5,40,85,390,,Big Eater Pokémon,Normal,,0.6,105.0,4.0
447,Riolu,https://bulbapedia.bulbagarden.net/wiki/Riolu_(Pok%C3%A9mon),40,70,40,60,35,40,285,,Emanation Pokémon,Fighting,,0.7,20.2,4.0
448,Lucario,https://bulbapedia.bulbagarden.net/wiki/Lucario_(Pok%C3%A9mon),70,110,70,90,115,70,525,,Aura Pokémon,Fighting,Steel,1.2,54.0,4.0
448,Lucario,https://bulbapedia.bulbagarden.net/wiki/Lucario_(Pok%C3%A9mon),70,145,88,112,140,70,625,Mega Lucario,Aura Pokémon,Fighting,Steel,1.2,54.0,4.0
449,Hippopotas,https://bulbapedia.bulbagarden.net/wiki/Hippopotas_(Pok%C3%A9mon),68,72,78,32,38,42,330,,Hippo Pokémon,Ground,,0.8,49.5,4.0
450,Hippowdon,https://bulbapedia.bulbagarden.net/wiki/Hippowdon_(Pok%C3%A9mon),108,112,118,47,68,72,525,,Heavyweight Pokémon,Ground,,2.0,300.0,4.0
451,Skorupi,https://bulbapedia.bulbagarden.net/wiki/Skorupi_(Pok%C3%A9mon),40,50,90,65,30,55,330,,Scorpion Pokémon,Poison,Bug,0.8,12.0,4.0
452,Drapion,https://bulbapedia.bulbagarden.net/wiki/Drapion_(Pok%C3%A9mon),70,90,110,95,60,75,500,,Ogre Scorpion Pokémon,Poison,Dark,1.3,61.5,4.0
453,Croagunk,https://bulbapedia.bulbagarden.net/wiki/Croagunk_(Pok%C3%A9mon),48,61,40,50,61,40,300,,Toxic Mouth Pokémon,Poison,Fighting,0.7,23.0,4.0
454,Toxicroak,https://bulbapedia.bulbagarden.net/wiki/Toxicroak_(Pok%C3%A9mon),83,106,65,85,86,65,490,,Toxic Mouth Pokémon,Poison,Fighting,1.3,44.4,4.0
455,Carnivine,https://bulbapedia.bulbagarden.net/wiki/Carnivine_(Pok%C3%A9mon),74,100,72,46,90,72,454,,Bug Catcher Pokémon,Grass,,1.4,27.0,4.0
456,Finneon,https://bulbapedia.bulbagarden.net/wiki/Finneon_(Pok%C3%A9mon),49,49,56,66,49,61,330,,Wing Fish Pokémon,Water,,0.4,7.0,4.0
457,Lumineon,https://bulbapedia.bulbagarden.net/wiki/Lumineon_(Pok%C3%A9mon),69,69,76,91,69,86,460,,Neon Pokémon,Water,,1.2,24.0,4.0
458,Mantyke,https://bulbapedia.bulbagarden.net/wiki/Mantyke_(Pok%C3%A9mon),45,20,50,50,60,120,345,,Kite Pokémon,Water,Flying,1.0,65.0,4.0
459,Snover,https://bulbapedia.bulbagarden.net/wiki/Snover_(Pok%C3%A9mon),60,62,50,40,62,60,334,,Frost Tree Pokémon,Grass,Ice,1.0,50.5,4.0
460,Abomasnow,https://bulbapedia.bulbagarden.net/wiki/Abomasnow_(Pok%C3%A9mon),90,92,75,60,92,85,494,,Frost Tree Pokémon,Grass,Ice,2.2,135.5,4.0
460,Abomasnow,https://bulbapedia.bulbagarden.net/wiki/Abomasnow_(Pok%C3%A9mon),90,132,105,30,132,105,594,Mega Abomasnow,Frost Tree Pokémon,Grass,Ice,2.2,135.5,4.0
461,Weavile,https://bulbapedia.bulbagarden.net/wiki/Weavile_(Pok%C3%A9mon),70,120,65,125,45,85,510,,Sharp Claw Pokémon,Dark,Ice,1.1,34.0,4.0
462,Magnezone,https://bulbapedia.bulbagarden.net/wiki/Magnezone_(Pok%C3%A9mon),70,70,115,60,130,90,535,,Magnet Area Pokémon,Electric,Steel,1.2,180.0,4.0
463,Lickilicky,https://bulbapedia.bulbagarden.net/wiki/Lickilicky_(Pok%C3%A9mon),110,85,95,50,80,95,515,,Licking Pokémon,Normal,,1.7,140.0,4.0
464,Rhyperior,https://bulbapedia.bulbagarden.net/wiki/Rhyperior_(Pok%C3%A9mon),115,140,130,40,55,55,535,,Drill Pokémon,Ground,Rock,2.4,282.8,4.0
465,Tangrowth,https://bulbapedia.bulbagarden.net/wiki/Tangrowth_(Pok%C3%A9mon),100,100,125,50,110,50,535,,Vine Pokémon,Grass,,2.0,128.6,4.0
466,Electivire,https://bulbapedia.bulbagarden.net/wiki/Electivire_(Pok%C3%A9mon),75,123,67,95,95,85,540,,Thunderbolt Pokémon,Electric,,1.8,138.6,4.0
467,Magmortar,https://bulbapedia.bulbagarden.net/wiki/Magmortar_(Pok%C3%A9mon),75,95,67,83,125,95,540,,Blast Pokémon,Fire,,1.6,68.0,4.0
468,Togekiss,https://bulbapedia.bulbagarden.net/wiki/Togekiss_(Pok%C3%A9mon),85,50,95,80,120,115,545,,Jubilee Pokémon,Fairy,Flying,1.5,38.0,4.0
469,Yanmega,https://bulbapedia.bulbagarden.net/wiki/Yanmega_(Pok%C3%A9mon),86,76,86,95,116,56,515,,Ogre Darner Pokémon,Bug,Flying,1.9,51.5,4.0
470,Leafeon,https://bulbapedia.bulbagarden.net/wiki/Leafeon_(Pok%C3%A9mon),65,110,130,95,60,65,525,,Verdant Pokémon,Grass,,1.0,25.5,4.0
471,Glaceon,https://bulbapedia.bulbagarden.net/wiki/Glaceon_(Pok%C3%A9mon),65,60,110,65,130,95,525,,Fresh Snow Pokémon,Ice,,0.8,25.9,4.0
472,Gliscor,https://bulbapedia.bulbagarden.net/wiki/Gliscor_(Pok%C3%A9mon),75,95,125,95,45,75,510,,Fang Scorpion Pokémon,Ground,Flying,2.0,42.5,4.0
473,Mamoswine,https://bulbapedia.bulbagarden.net/wiki/Mamoswine_(Pok%C3%A9mon),110,130,80,80,70,60,530,,Twin Tusk Pokémon,Ice,Ground,2.5,291.0,4.0
474,Porygon-Z,https://bulbapedia.bulbagarden.net/wiki/Porygon-Z_(Pok%C3%A9mon),85,80,70,90,135,75,535,,Virtual Pokémon,Normal,,0.9,34.0,4.0
475,Gallade,https://bulbapedia.bulbagarden.net/wiki/Gallade_(Pok%C3%A9mon),68,125,65,80,65,115,518,,Blade Pokémon,Psychic,Fighting,1.6,52.0,4.0
475,Gallade,https://bulbapedia.bulbagarden.net/wiki/Gallade_(Pok%C3%A9mon),68,165,95,110,65,115,618,Mega Gallade,Blade Pokémon,Psychic,Fighting,1.6,52.0,4.0
476,Probopass,https://bulbapedia.bulbagarden.net/wiki/Probopass_(Pok%C3%A9mon),60,55,145,40,75,150,525,,Compass Pokémon,Rock,Steel,1.4,340.0,4.0
477,Dusknoir,https://bulbapedia.bulbagarden.net/wiki/Dusknoir_(Pok%C3%A9mon),45,100,135,45,65,135,525,,Gripper Pokémon,Ghost,,2.2,106.6,4.0
478,Froslass,https://bulbapedia.bulbagarden.net/wiki/Froslass_(Pok%C3%A9mon),70,80,70,110,80,70,480,,Snow Land Pokémon,Ice,Ghost,1.3,26.6,4.0
478,Froslass,https://bulbapedia.bulbagarden.net/wiki/Froslass_(Pok%C3%A9mon),70,80,70,120,140,100,580,Mega Froslass,Snow Land Pokémon,Ice,Ghost,1.3,26.6,4.0
479,Rotom,https://bulbapedia.bulbagarden.net/wiki/Rotom_(Pok%C3%A9mon),50,50,77,91,95,77,440,,Plasma Pokémon,Electric,Ghost,0.3,0.3,4.0
